cell_id,crash_count,gi_zscore,gi_pvalue,hotspot_category,lat,lon
189,0,-0.5545490045878921,0.001,Not Significant,52.5756969829974,-2.006470954945596
190,0,-0.5545490045878921,0.001,Not Significant,52.58019188699693,-2.006471643773655
191,0,-0.5545490045878921,0.001,Not Significant,52.58468678756165,-2.006472332783497
192,0,-0.5545490045878921,0.001,Not Significant,52.58918168469173,-2.0064730219751876
193,0,-0.5545490045878921,0.001,Not Significant,52.59367657838728,-2.00647371134879
194,0,-0.5545490045878921,0.001,Not Significant,52.59817146864848,-2.0064744009043687
195,0,-0.554549004587892,0.001,Not Significant,52.60266635547548,-2.0064750906419873
196,9,0.00398413847956352,0.278,Not Significant,52.38690809986197,-1.999095634097493
197,1,-0.1993415232511331,0.366,Not Significant,52.391403148290614,-1.9990955690596328
198,10,0.15586595808562598,0.429,Not Significant,52.39589819327809,-1.9990955040041256
199,1,-0.217714324009931,0.403,Not Significant,52.40039323482463,-1.9990954389309672
200,6,-0.05848338410034936,0.383,Not Significant,52.40488827293026,-1.9990953738401496
201,13,0.22323289420121817,0.237,Not Significant,52.40938330759523,-1.9990953087316683
202,0,-0.4136908654371084,0.237,Not Significant,52.41387833881964,-1.9990952436055163
203,0,-0.530051936909495,0.02,Not Significant,52.41837336660363,-1.999095178461687
204,2,-0.4381879331155056,0.016,Not Significant,52.4228683909474,-1.999095113300176
205,1,-0.4014423315979099,0.148,Not Significant,52.42736341185107,-1.9990950481209744
206,5,-0.11360178637674297,0.37,Not Significant,52.43185842931478,-1.9990949829240776
207,9,0.12524462348762944,0.478,Not Significant,52.43635344333869,-1.99909491770948
208,5,-0.10747751945714366,0.384,Not Significant,52.44084845392294,-1.9990948524771748
209,1,-0.4075665985175091,0.13,Not Significant,52.4453434610677,-1.999094787227155
210,0,-0.4014423315979099,0.275,Not Significant,52.44983846477309,-1.9990947219594142
211,6,-0.08910471869834578,0.32,Not Significant,52.4543334650393,-1.9990946566739485
212,4,-0.027862049502352885,0.313,Not Significant,52.458828461866474,-1.999094591370749
213,12,0.18036302576402316,0.258,Not Significant,52.46332345525472,-1.9990945260498114
214,0,-0.4075665985175091,0.257,Not Significant,52.46781844520421,-1.9990944607111283
215,0,-0.5545490045878921,0.001,Not Significant,52.47231343171512,-1.999094395354695
216,0,-0.5545490045878921,0.001,Not Significant,52.47680841478758,-1.9990943299805033
217,0,-0.5545490045878921,0.001,Not Significant,52.481303394421744,-1.9990942645885483
218,0,-0.5545490045878921,0.001,Not Significant,52.48579837061776,-1.999094199178823
219,0,-0.5545490045878921,0.001,Not Significant,52.49029334337576,-1.999094133751322
220,0,-0.5545490045878921,0.001,Not Significant,52.49478831269594,-1.9990940683060383
221,0,-0.5545490045878921,0.001,Not Significant,52.499283278578424,-1.9990940028429653
222,0,-0.5545490045878921,0.001,Not Significant,52.50377824102335,-1.9990939373620986
223,0,-0.5545490045878921,0.001,Not Significant,52.508273200030885,-1.9990938718634301
224,0,-0.5545490045878921,0.001,Not Significant,52.51276815560118,-1.999093806346954
225,0,-0.5545490045878921,0.001,Not Significant,52.517263107734394,-1.9990937408126648
226,0,-0.5545490045878921,0.001,Not Significant,52.52175805643066,-1.9990936752605561
227,0,-0.5545490045878921,0.001,Not Significant,52.52625300169016,-1.9990936096906207
228,0,-0.5545490045878921,0.001,Not Significant,52.530747943513006,-1.9990935441028523
